circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,AMBEDKAR NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,17.0,6153.0,55.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,PEDDA AMBERPET-II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1315.0,13.5
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,R K NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,3.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,RAJIV GRUHA KALPA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,104.0,5.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SADASIVA NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,909.0,5.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,2026.0,30.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SHANTHI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,0.0,5.75
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SRI RAM NAGAR PASUMAMLA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,9142.0,13.75
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,BRAHMAN PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,8.0,2609.0,37.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,GURRAMGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,43,43.0,19522.0,143.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,HARITHAPURI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,2108.0,20.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,INDIRAMMA COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,79.0,5.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,INJAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,35,34.0,12225.0,128.75
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,KAMMA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,55,55.0,15570.0,130.0
